UserID,TeamID,Password
RoboFalcon,ACU1,V7!kQ#pL9@xT
BotCircuit,ACU1,mR4$zN8!yW2^
IronDrive,ACU1,Qp9@Lx3#Vt7!
TrackForge,ACU1,J8^nK$4!sP2@
MotionShift,ACU1,wT6#zM9@qL1$
BotShift,ACU1,Xr3!Vb8^Np5@
TitanDrive,AUBIE2,K9@tY#2!mQ7$
PulseGear,AUBIE2,cL4^Wz8@Rp1!
TrackNova,AUBIE2,P7#xN$5!kT9@
WheelSync,AUBIE2,hQ2@Vm8^L#4!
RapidForge,AUBIE2,Z5!pR@7#nX3$
ServoVault,AUBIE2,uN8^kT2@qL9!
RapidCore,AUBIE2,F3#vP$6!mW1@
WheelStorm,AUBIE2,yL9@Xr4^Q#7!
TitanShift,AUBIE2,B2!tK@8#pN5$
MechaPulse,BISON1,sM7^wQ3@L!9#
MechaTrail,BISON1,G4@xV#1!nT8$
AxisPulse,BISON1,pR6!zL9^K@2#
DriveStorm,BISON1,T8$mQ4@wX!7#
SteelNova,BISON1,nY3^pL7@V#5!
DrivePulse,BISON1,W9!kR@2#tM6$
TitanStorm,BISON1,xP5^N8@qL!3#
CodeCore,BISON1,L7@vT#4!mQ9$
WheelForge,BISON1,rZ2!wK@8^pX5
VexNova,CLNKR,M4#nQ$7!tL1@
NovaClamp,CLNKR,qT9^xP3@V!6#
RoboTrail,CLNKR,K8!mR@5#wL2$
PulseVault,CLNKR,V1@pN7^tQ#9!
LiftRunner,CLNKR,zL6#xT$4!mK8
BotForge,CYBER,P3!qW@9^nR#5
SteelAxis,CYBER,tX7@kL#2!mV8
MotionForge,CYBER,N5^pQ4@wT!1#
MechaCore,CYBER,R8!vM@6#xL3$
CyberGrid,CYBER,yQ2@tP9^kN#7
SteelSpark,ETAMU,F7#mL$3!wX8@
DriveVolt,ETAMU,uV4!qR@8#pT1
ServoGrid,ETAMU,J9^xN2@kL!5#
IronClamp,ETAMU,wP6@tM#7!qV3
DriveClamp,ETAMU,X3!nQ@5^rL#8
MotorClamp,ETAMU,K7@pT#1!mW9$
WheelVault,ETAMU,cR4^vL8@xQ!2
FrameNova,ETAMU,P9#kM$6!tN3@
CodeRunner,ETAMU,hT2@wQ8^pL#7
GearGrid,FOUR4,Z6!xR@4#nV9$
LogicLift,FOUR4,uL1^mP7@qT!5
CodeRotor,FOUR4,B8#vQ$3!kX2@
RapidNova,FOUR4,sN5@tL#9!wR6
SparkVault,FOUR4,G2!pM@8^xQ#4
AxisTrail,FOUR4,pT7^kV3@nL!9
CodeForge,FOUR4,T4$wR6@qX!1#
TorqueClamp,FOUR4,nQ9^xL2@pM#8
ProtoWheel,ILLIN1,W5!tP@7#kV3$
RotorRush,ILLIN1,xL8^mQ4@rN!2
PivotSpark,ILLIN1,L3@vT#9!pW6$
CodeDrive,ILLIN1,rK7!xM@5^qL#1
GearPulse,ILLIN1,M9#pR$2!tV8@
RapidStorm,ILLIN1,qN4^wL7@xQ!5
FrameRunner,ILLIN1,K6!tP@3#mR9$
CyberRunner,ILLIN1,V2@xQ8^nL#7!
FrameCore,ILLIN1,zT5#kM$1!pW6
ServoStorm,ILLIN1,P8!rL@4^qV#2
CyberClamp,ILLIN2,tQ3@wN#7!xL9
TitanTrack,ILLIN2,N7^mP5@kT!1#
RapidCore,ILLIN2,R1!vQ@9#pL6$
LiftMesh,ILLIN2,yX4@tM8^qN#3
BoltRunner,INTRT,F8#kL$2!wR7@
ServoForge,INTRT,uP5!xQ@6#nT1
SteelTrail,INTRT,J3^mV9@rL!8#
TitanGrid,INTRT,wT7@pN#4!qX2
ServoStorm,JACKS,X9!kR@1^mL#5
CyberPivot,JACKS,K4@vQ#8!tP7$
TitanBolt,JACKS,cL2^xT6@pN!9
CyberTrail,JACKS,P7#mR$3!wQ8@
ServoTrack,JACKS,hV5@kL#1!xT9
WheelCore,JACKS,Z8!pQ@4^nR#2
CyberCore,JACKS,uT6^wM7@qL!3
LiftPulse,JACKS,B1#xP$9!kV5@
CircuitCore,JHAWK,sQ4@tL#8!mR2
MotorCore,JHAWK,G7!vN@3^pX#6
LiftPulse,JHAWK,pL9^kQ5@wT!1
GearRunner,JHAWK,T2$xR8@mV!7#
TitanCore,JHAWK,nP6^qL4@tN#3
CodeGrid,JHAWK,W8!mQ@1#xK9$
LiftForge,JHAWK,xT3^pR7@vL!5
SparkForge,JHAWK,L5@kN#2!wQ8$
DriveMatrix,KGEAR,rV9!tM@4^xL#1
ClawDrive,KGEAR,M6#qP$8!nR3@
CyberForge,KGEAR,qL1^wT9@kV!7
SparkClamp,KGEAR,K3!xQ@5#mP8$
MotorRush,KGEAR,V7@tL2^pN#4!
FramePulse,KGEAR,zR8#kM$6!wQ1
SparkTrail,KGEAR,P4!vT@9^xL#3
AutoClaw,MINES,tN5@qR#1!mK7
FrameShift,MINES,sT5^xP9@qM!2#
DriveSync,MINES,xQ7!mL@4#pT9$
MotorVault,MINES,V3^kR8@wN!2#
